Tag No.,Equipment / Document Title,Serial No.,Cal. Freq,First Calibration,Last Calibration,Next Calibration,Status,Owner,Location,Type of Calibration,Remark
B322,JINGSTONE METROLOGY BLOCK GAGE SET (GB-9087-1) (0.5~100mm),70079,1,07-May-2024,28-Jul-2026,28-Jul-2027,Due >30d,Khudri,IPI PLUG,External Calibration,
B328,JINGSTONE METROLOGY BLOCK GAGE SET (1.001~100mm),130366,1,25-Mar-2015,28-Jul-2026,28-Jul-2027,Due >30d,Andris,IPI PE,External Calibration,
B478,Digital Thermometer ARITSU HR-1100K/1100E,M03861/24006615,1,13-Aug-2024,29-Jul-2026,29-Jul-2027,Due >30d,Tika/Agus R,IPI MCX,External Calibration,
B458,Digital Multimeter CD772 SANWA,18115011022,1,15-Sep-2023,29-Jul-2026,29-Jul-2027,Due >30d,Tika,IPI WH PROD,External Calibration,
B483,Soldering Iron Tip Thermometer HAKKO,1.31002E+13,1,10-Sep-2024,29-Jul-2026,29-Jul-2027,Due >30d,Tika,IPI MCX,External Calibration,
B480,Dial Test Indicator model CUPP76,51340410,1,06-Sep-2024,30-Jul-2026,30-Jul-2027,Due >30d,Tika,IPI MCX,External Calibration,
B356,DIGIMATIC INDICATOR (0~25mm),12109985,1,19-Mar-2018,30-Jul-2026,30-Jul-2027,Due >30d,Dede,IPI TOOLING,External Calibration,
B81,WEIGHING M/C CP423S (420g x 0.001g),16311151,1,16-Apr-2012,01-Aug-2026,01-Aug-2027,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B484,OVEN,NA,1,28-Sep-2024,01-Aug-2026,01-Aug-2027,Due >30d,Naldi,IPI CONN AP-10,External Calibration,
B449,Micrometer TESA,2C02102,1,,04-Aug-2026,04-Aug-2027,Due >30d,Heru,IPI INJ,External Calibration,
B166,DIGIMATIC SPLINE MICROMETER (0 ~ 25mm),85249463,1,25-Feb-2013,11-Aug-2026,11-Aug-2027,Due >30d,Izmir,IPI MOLD MAINT,Internal Verification,
B536,Thermo hygrometer Thermopro TP53,NA,1,23-Sep-2025,20-Aug-2026,20-Aug-2027,Due >30d,Sarmadi,IPI QC MCX,External Calibration,
B535,Thermo hygrometer Thermopro TP53,NA,1,23-Sep-2025,20-Aug-2026,20-Aug-2027,Due >30d,Feti,IPI QA,External Calibration,
B534,Thermo hygrometer Thermopro TP53,NA,1,23-Sep-2025,20-Aug-2026,20-Aug-2027,Due >30d,Feti,IPI QA,External Calibration,
B531,Length check jig Shinwa,NA,1,08-Sep-2025,26-Aug-2026,26-Aug-2027,Due >30d,Sarmadi/Toyek,IPI QC MCX,External Calibration,
B557,ENA NETWORK ANALYZER (MODEL NO E5071C),NA,1,,26-Aug-2026,26-Aug-2027,Calibration onsite on 26-08-26,Sarmadi,IPI QC WH,External Calibration,
B221,WEIGHING BALANCE (CAS SW-1S) (20kg x 5g),90740024,1,17-Jun-2013,29-Aug-2026,29-Aug-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,
B80,SARTORIUS ELECTRONIC WEIGHING M/C CP423S (420g x 0.001g),16311150,1,31-May-2012,29-Aug-2026,29-Aug-2027,Due >30d,Yueflin,IPI INJECTION PROD,External Calibration,
B324,SHIMADZU ELECTRONIC WEIGHING SCALE (BL-220H) (0~220g),D455008362,1,16-Jun-2015,29-Aug-2026,29-Aug-2027,Due >30d,Trinil,IPI Packing WH,External Calibration,IATF
B240,DIGIMATIC BLADE MICROMETER (0 ~ 25mm),85272511,1,30-Apr-2012,01-Sep-2026,01-Sep-2027,Due >30d,Sarmadi,IPI QC WH,Internal Verification,"IATF,CLARION"
B533,Thermo hygrometer Thermopro TP53,NA,1,23-Sep-2025,02-Sep-2026,02-Sep-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B485,Thermo hygrometer Thermopro,198397,1,21-Oct-2024,02-Sep-2026,02-Sep-2027,Send to vendor on 11-Sep-26,Jamsuri,IPI STORE,External Calibration,
B558,Thermo Pro,047514,1,,02-Sep-2026,02-Sep-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B559,Thermo pro,047502,1,,02-Sep-2026,02-Sep-2027,Due >30d,Jamsuri,IPI STORE,External Calibration,
B532,Go No Go Jig FAU Bucket,NA,2,04-Sep-2025,04-Sep-2025,04-Sep-2027,Due >30d,Nurjanah,IPI QC INJECTION,Internal Verification,
B176,DIGIMATIC MICROMETER - SPECIAL CUSTOM-MADE (25 ~ 50mm),95019645,1,18-Apr-2013,07-Sep-2026,07-Sep-2027,Due >30d,Herman,IPI MC MAINT,Internal Verification,
CAL 14,STAINLESS STEEL TEST WEIGHT (50g),CT47704,3,14-Oct-2021,18-Oct-2024,18-Oct-2027,Due >30d,Feti,IPI QA,External Calibration,
B96,Aikoh Push Pull Gauge Model : ANF-300 (0~30kgf),132217,3,20-Mar-2012,18-Oct-2024,18-Oct-2027,Due >30d,Mia,IPI QC WH,External Calibration,
CAL 8,STAINLESS STEEL TEST WEIGHT (100g),1948,5,17-Jan-2013,30-Dec-2022,30-Dec-2027,Due >30d,Feti,IPI QA,External Calibration,
